,Income,MonthlyCharge
0,28561.99,172.455519
1,21704.77,242.632554
2,9609.57,159.947583
3,18925.23,119.95684
4,40074.19,149.948316
6,11467.5,200.118516
7,26759.64,114.950905
8,58634.51,117.468591
9,50231.4,162.482694
10,22580.7,174.958118
11,18342.12,149.962093
12,83671.08,137.439154
13,115114.57,184.971516
14,64256.81,159.965581
16,31659.3,194.966286
19,19494.75,149.944668
20,39624.21,184.978458
21,45714.47,127.495766
22,27442.03,124.964303
23,79699.62,149.948316
25,12558.83,92.455141
26,8762.23,222.649979
28,10482.52,200.132293
29,33442.79,257.651257
30,43383.54,230.105118
32,51960.51,230.105118
33,25942.1,174.958118
34,11211.59,267.664655
35,8283.29,162.483267
36,10114.81,229.993134
37,36229.21,140.00128
38,25397.44,184.964681
39,50336.5,147.473844
40,38211.37,172.457857
41,52887.26,107.481989
42,12003.33,255.141716
43,24090.62,192.456745
44,15137.93,242.632554
46,132116.33,184.964681
47,37358.13,195.006206
50,4662.37,184.979684
52,38391.55,149.962093
53,44137.6,169.944668
54,14364.65,160.00128
55,62359.91,129.962093
56,82634.86,114.950905
59,29207.46,124.97808
60,55319.23,164.964681
61,81831.49,194.976769
62,100076.65,152.455519
65,45634.2,184.963371
66,10964.73,265.146969
67,22365.28,207.609354
68,52636.6,152.462354
69,19048.13,200.132293
71,77996.88,255.119794
72,47507.3,134.950905
73,7724.73,255.137219
74,1509.52,214.966286
75,81124.71,270.160419
77,74794.84,149.937833
78,19038.78,240.114868
79,79167.77,127.495766
80,37428.26,187.609354
81,45148.38,169.992756
82,74855.47,192.456745
83,45323.86,120.004928
84,71596.14,195.006206
85,10389.95,139.95684
88,15609.05,187.609354
89,19815.63,134.950905
90,58482.9,192.470522
91,41656.53,222.628057
92,115510.46,162.468917
93,15841.19,159.979358
94,81127.41,184.979684
95,24270.88,245.145743
96,54466.33,124.97808
97,64816.84,187.484705
98,103311.26,162.500692
99,40211.04,182.467607
101,43466.35,182.467607
103,49158.49,169.937833
104,3805.84,204.963371
105,52616.27,204.963371
106,30550.42,245.128318
108,30649.31,172.456745
109,31417.33,194.976769
110,55861.19,137.439154
111,9044.26,192.470522
112,25381.66,159.951231
113,65064.31,112.455141
114,12527.51,174.961766
115,35499.06,162.452604
116,26282.4,137.483594
117,51237.28,275.133571
118,64222.21,127.442069
120,21172.49,147.456419
125,74679.84,124.960655
127,34281.1,172.48852
128,36240.81,120.004928
130,125814.88,139.965008
131,12995.68,159.951231
132,77531.43,184.949594
133,87354.99,252.637807
134,76567.85,112.455141
135,30663.52,179.979358
136,122957.19,202.443347
137,31600.92,197.472533
138,74638.78,255.155493
139,32652.3,174.976769
140,63650.54,169.992756
141,28622.6,192.440432
142,50252.79,182.460772
143,19800.81,139.965008
145,36342.31,217.472533
147,23204.98,104.964303
148,35302.52,262.610632
150,60398.06,174.974431
151,8115.88,220.118516
152,33858.66,162.452604
153,29950.47,184.961033
154,49421.69,217.483972
155,11061.05,220.118516
157,20624.31,174.961766
158,47877.81,252.637807
160,107111.8,162.482694
161,10403.59,182.467607
162,22412.6,139.934918
